date,Close,Volume
2014-10-01,1171.0999755859375,4510
2014-11-01,1175.199951171875,299410
2014-12-01,1183.9000244140625,11140
2015-01-01,1278.5,258615
2015-04-01,1182.4000244140625,7838
2015-05-01,1189.4000244140625,258123
2015-06-01,1171.5,6252
2015-07-01,1094.9000244140625,216892
2015-08-01,1131.5999755859375,13251
2015-09-01,1115.5,9119
2015-10-01,1141.5,4321
2015-12-01,1060.300048828125,10149
2016-01-01,1116.4000244140625,229558
2016-02-01,1233.9000244140625,13930
2016-03-01,1234.199951171875,244751
2016-04-01,1289.199951171875,9954
2016-06-01,1318.4000244140625,13380
2016-07-01,1349.0,281653
2016-08-01,1306.9000244140625,11854
2016-09-01,1313.300048828125,18630
2016-10-01,1271.5,5775
2016-11-01,1170.800048828125,242622
2016-12-01,1150.0,9972
2017-02-01,1252.5999755859375,11087
2017-03-01,1247.300048828125,251026
2017-04-01,1266.0999755859375,9065
2017-05-01,1272.0,404733
2017-06-01,1240.699951171875,8948
2017-07-01,1266.5999755859375,292633
2017-08-01,1316.199951171875,10098
2017-09-01,1281.5,26808
2017-11-01,1273.199951171875,326214
2017-12-01,1306.300048828125,7596
2018-01-01,1339.0,338322
2018-02-01,1315.5,10243
2018-03-01,1322.800048828125,356297
2018-05-01,1300.0999755859375,441893
2018-06-01,1251.300048828125,5166
2018-08-01,1200.300048828125,5996
2018-09-01,1191.5,23406
2018-10-01,1212.300048828125,4126
2018-11-01,1220.199951171875,304805
2018-12-01,1278.300048828125,4402
2019-01-01,1319.699951171875,270998
2019-02-01,1312.800048828125,7989
2019-03-01,1293.0,295700
2019-04-01,1282.800048828125,6961
2019-05-01,1305.800048828125,248448
2019-06-01,1409.699951171875,6517
2019-07-01,1426.0999755859375,302051
2019-08-01,1519.0999755859375,17142
2019-10-01,1511.4000244140625,5233
2019-11-01,1465.5999755859375,443701
2020-01-01,1582.9000244140625,316262
2020-02-01,1564.0999755859375,9617
2020-04-01,1684.199951171875,14324
2020-05-01,1736.9000244140625,168568
2020-06-01,1793.0,16436
2020-07-01,1962.800048828125,246967
2020-08-01,1967.5999755859375,11710
2020-09-01,1887.5,17781
2020-10-01,1877.4000244140625,9613
2020-12-01,1893.0999755859375,12142
2021-01-01,1847.300048828125,225930
2021-02-01,1728.0999755859375,16813
2021-03-01,1713.800048828125,167914
2021-04-01,1767.300048828125,11366
2021-05-01,1902.5,210133
2021-06-01,1770.800048828125,8466
2021-07-01,1812.5999755859375,245814
2021-09-01,1755.300048828125,28543
2021-10-01,1783.0,8208
2021-11-01,1773.5999755859375,221936
2021-12-01,1827.5,10803
2022-01-01,1795.0,232014
2022-02-01,1899.4000244140625,9510
2022-03-01,1949.199951171875,157864
2022-04-01,1909.300048828125,7725
2022-06-01,1804.0999755859375,7851
2022-07-01,1762.9000244140625,194989
2022-08-01,1712.800048828125,11161
2022-09-01,1662.4000244140625,41586
2022-10-01,1635.9000244140625,8817
2022-11-01,1746.0,161813
2022-12-01,1819.699951171875,9347
2023-02-01,1828.9000244140625,10398
2023-03-01,1969.0,104261
2023-04-01,1990.0999755859375,7282
2023-05-01,1963.9000244140625,215367
2023-06-01,1921.0999755859375,6383
2023-07-01,1970.5,220474
2023-08-01,1938.199951171875,9086
2023-09-01,1848.0999755859375,19996
